Company Name,Brand,Website,Linkedin Intro
Vedosign B.V.,Gausium,vedosign.com,"SERVICE, BEREIKBAARHEID OF GASTVRIJHEID VERBETEREN Met een draadloos oproepsysteem of communicatiesysteem van VeDoSign optimaliseert u de communicatie met uw gasten, bezoekers of medewerkers."
Werk met Kacha,Gausium,werkmetkacha.nl,
Hellopro,Gausium,www.hellopro.fr,"www.hellopro.fr répertorie les produits de milliers de sociétés, et propose une mise en relation avec les fournisseurs, afin de faciliter le processus d'achat pour les entreprises, collectivités, administration, associations, indépendants."
King Belgium,Gausium,kingbelgium.be,
Labrosse équipement,Gausium,labrosse-equipement.fr,"Créée par Guy LABROSSE en 1977, la société LABROSSE équipement est votre concessionnaire exclusif Fenwick-linde en Dr?me, Ardèche, Vaucluse et Alpes de Haute Provence depuis plus de 45 ans."
OrboTech Sweden AB,Gausium,orbotech.se,"Vi utmanar er att v?nda p? gamla uppfattningar och t?nka i nya banor, samtidigt som vi g?r st?dningen enklare, roligare och effektivare med innovativa st?dprodukter i v?rldsklass!"
Perpulire S.r.l.,Gausium,perpulire.it,
Pool Industriale,Gausium,poolindustriale.it,Nel 1975 un gruppo di Aziende Leader diede vita al primo network interaziendale: un’operazione strategica unica al mondo per modalità e qualità realizzata con il progetto editoriale della Rassegna Pool Industriale.
RentingTec,Gausium,rentingtec.com,"We provide our customers with short, medium and long-term Rental and other OPEX (financial) solutions in order to fulfil Testing, Measurement and Commissioning needs."
Robiq,Gausium,robiq.se,"Robiq hj?lper dig med robotl?sningar inom st?dning, leverans och servering f?r en mer h?llbar arbetsmilj?, b?ttre kompetensf?rs?rjning och en ?kad l?nsamhet."
SIMPPLE Ltd. | NASDAQ: SPPL,Gausium,simpple.ai,Make managing your facilities SIMPPLE. We are on a mission to transform every building and make them future-ready by equipping them with smart and green technologies.
Supplies Direct,Gausium,suppliesdirect.se,Supplies Direct - unique solutions to everyday cleaning problems.
Toussaint Entreprises,Gausium,toussaint-groupe.fr,
XVEL.TECH,Gausium,xvel.tech,
Hygienalia,Gausium,hygienalia.com,
ICA System,Gausium,icasystem.it,
Innoway,Gausium,innowayrobotics.nl,
Inova,Gausium,inova-group.it,
KRobot Campania,Gausium,krobotcampania.com,
Labrosse Cleaning,Gausium,labrosse-cleaning.fr,
NextFM Robotics,Gausium,nextfmrobotics.de,
NextGen Robotics,Gausium,nextgenrobotics.nl,
Nou Colors,Gausium,noucolors.com,
REMA Group,Gausium,remaconcept.de,
SEC-COM Sicherheits- und Kommunikationstechnik GmbH,Gausium,sec-com.de,
Robot Componentes,Gausium,shop.robotcomponentes.com,
Socaf,Gausium,socaf.it,
Tot Net,Gausium,totnet.es,
Toussaint Unternehmensgruppe,Gausium,toussaint.de,
Americhem International,Tennant,americhem.net,
Berdiel,Tennant,berdiel.es,
Carey Cleaning Machines Ltd,Tennant,careycleaningmachines.com,
Carey Tennant,Tennant,careytennant.ie,
Tennant Company,Tennant,cleanmachine.se,
CleanWhale,Tennant,cleanwhale.pl,
Clemas & Co. Limited,Tennant,clemas.co.uk,
Czarny,Tennant,czarny.info,
Tennant Company,Tennant,dimensionepulito.it,
Tennant Company,Tennant,directindustry.es,
Dubai Clean,Tennant,dubaiclean.com,
Facilicom Group,Tennant,facilicom.nl,
Tennant Company,Tennant,faip.it,
Fugar Rent Equipos Industriales S.L.,Tennant,fugarrent.es,
Gothaer F?rderger?te Center GmbH & Co KG,Tennant,gfc-gotha.de,
Tennant Company,Tennant,gi-erre.it,
GT Cleaning Machines Limited,Tennant,gtcleaningmachines.co.uk,
Hugh Crane (Cleaning Equipment) Ltd,Tennant,hughcrane.co.uk,
Industrial Cleaning Machinery (UK) Ltd,Tennant,icmuk.co.uk,
Industrial Cleaning,Tennant,industrialcleaning.nl,
Ismac,Tennant,ismac.it,
Jungheinrich PROFISHOP,Tennant,jh-profishop.de,
Jurek Reinigungstechnik GmbH & Co. KG,Tennant,jurek.berlin,
Wim Langeveld Machines,Tennant,langeveldmachines.nl,
Tennant Company,Tennant,lepper-clean.com,
FM Systeme,Tennant,logimat-messe.de,
Monning GmbH Reinigungstechnik,Tennant,monning-reinigungstechnik.shop,
Motrac,Tennant,motrac.be,
Multi-Service,Tennant,multi-service.fr,
Piquersa Maquinaria S.A.,Tennant,piquersa.es,
Tennant Company,Tennant,productospavifortvalles.com,
PTS Reinigungssysteme GmbH,Tennant,pts-reinigungssysteme.de,
Riva Carrelli Elevatori,Tennant,rivacarrelli.com,
SAS Adms,Tennant,sas-adms.fr,
SIRSA - Servicios Industriales Reunidos,Tennant,sirsa.com,
S?ffge Geb?udereinigung,Tennant,soeffge.de,
Sorma Sverige AB,Tennant,sorma.se,
Tecnodelsa,Tennant,tecnodelsa.com,
Tennant Company,Tennant,tennantco.com,
Tennant Company,Tennant,tennantco.com.tr,
Tennant Company,Tennant,tenrent.nl,
Tennant Company,Tennant,tenrent.pl,
Trafalgar Cleaning Equipment,Tennant,trafalgarcleaningequipment.co.uk,
WALO Bertschinger,Tennant,walo.nl,
Sveaverken,Tennant,directindustry.it,
Riehemann OHG,Tennant,riehemann-ohg.de,
Matorobot.nl,Sveaverken,matorobot.nl,
Sveaverken,Sveaverken,directindustry.de,
Sveaverken,Sveaverken,directindustry.fr,
United Robotics Group,United Robots Group,reinigungs-roboter.net,
wabeko,United Robots Group,wabeko.de,
killis,Lions,killis.co.uk,"Founded in 1964 Killis, manufactures and imports specialist cleaning equipment and janitorial supplies for the cleaning industry. Our unique range of cleaning products, vacuum cleaners, floor scrubbers, pressure washers and rotary floor polishers are all available to purchase online & from our local stores."
,Lions,hollu.com,
,Lions,infraservices.apleona.com,
K?rcher,K?rcher,cotraco.de,
K?rcher,K?rcher,ersatzteil-fee.de,
Matech GmbH,K?rcher,matech-buehl.de,
Suffel F?rdertechnik GmbH & Co. KG,K?rcher,suffel.com,
CK Consumables Ltd,ICE Cobotics,ckconsumables.com,
Faust Reinigungstechnik GmbH,ICE Cobotics,faust-reinigungstechnik.de,
Füber Reinigungstechnik,ICE Cobotics,fueber-reinigungstechnik.com,
Gottron Reinigungsmittel GmbH,ICE Cobotics,gottron-hygiene.de,
Hygiene Rakus GmbH,ICE Cobotics,hygiene-rakus.de,
ICE Cobotics,ICE Cobotics,hygra.de,
mstore GmbH & Co. KG,ICE Cobotics,mstore-hygiene.de,
Saubermann-Meffert,ICE Cobotics,saubermann-meffert.de,
Zwetko GmbH Fachgro?handel für Betriebshygiene,ICE Cobotics,zwetko.eu,
Killis LTD,Nexaro,cleanerhealthierspaces.co.uk,
GVS-GROSSVERBRAUCHERSPEZIALISTEN eG,Nexaro,gvs-eg.de,
K?der GmbH,Nexaro,koeder-hygiene.de,
Onken Betriebsbedarf,Nexaro,onken-direkt.de,
Uwe Onken GmbH,Nexaro,uwe-onken.de,
Crescent Industrial,Adlatus Robotics,crescentindustrial.co.uk,
IRP Intralogistica,Adlatus Robotics,irp-intralogistica.com,
Jetschke Industriefahrzeuge (GmbH & Co.) KG,Adlatus Robotics,jetschke.de,
Lighthouse Visual Communications Ltd,Adlatus Robotics,lvcuk.com,
123-Reinigungsbedarf (W. Classen),ICE Cobotics,123-reinigungsbedarf.de,
1plushygiene,Cleanfix,1plushygiene.de,
Actis Location,Kärcher,actis-location.com,
Afidamp (Association Listing),LionsBot,afidamp.it,
Kärcher Center Amschl,Kärcher,amschl.at,
Apprich GmbH,Gausium,apprich-reinigung.de,
Aprolis,"Gausium, Kärcher, Cleanfix",aprolis.com,
A.R.CO.,Kärcher,arcosrl.it,
ASP Robotics,Gausium,asp-robotics.com,
ASP ROKO,Gausium,asp-roko.de,
Assindia,Gausium,assindia-direkt.de,
Attiva Evolution,Gausium,attivaevolution.com,
Avodesch,Gausium,avodesch.nl,
Azzurra Macchine (Kärcher Center Azzurra),Kärcher,azzurramacchine.it,
Kärcher Center Benstein,Kärcher,benstein.de,
Biora GmbH,Gausium,biora.at,
Boma,"Gausium, Kärcher, LionsBot, ICE Cobotics, i-Team Global",boma.eu,
Borema Umwelttechnik GmbH,Gausium,borema.at,
Campana Noleggio,Gausium,campananoleggio.com,
Care Cleaning Machines,Gausium,care-cleaning-machines.de,
CARE GmbH,Gausium,care-gmbh.de,
Carel Lurv,Cleanfix,carellurv.nl,
Carel Lurvink,i-Team Global,carellurvink.nl,
CCPI (Cleaning Care Products International),CenoBots,ccpi.nl,
CDS S.r.l. (Cleaning Distribution Systems),Gausium,cds-srl.com,
Cemex Trescon,i-Team Global,cemextrescon.nl,
Clean Matériel,"Kärcher, Cleanfix, i-Team Global",clean-materiel.com,
Clean Robots,Gausium,clean-robots.fr,
Clean2Day,"Kärcher, Cleanfix, i-Team Global",clean2day.nl,
CleanCare,i-Team Global,cleancare.nl,
Cleanclub,i-Team Global,cleanclub.de,
Clean Équipements,i-Team Global,cleanequipements.com,
Cleaning Care,Gausium,cleaningcare.nl,
Clennio,ICE Cobotics,clennio.com,
Clenol,Gausium,clenol.com,
Crohill,i-Team Global,crohill.nl,
Deltaservice Srl (Kärcher Center Deltaservice),Kärcher,deltaservicesrl.com,
Deltrian,CenoBots,deltrian.com,
DiBO,Adlatus Robotics,dibo.com,
Dierre,Kärcher,dierre.eu,
Dileos,Gausium,dileos.fr,
Dinaco,Kärcher,dinaco.de,
Dousset Matelin,Kärcher,dousset-matelin.fr,
Dullens,Gausium,dullens.nl,
Eco-Service s.r.l.,LionsBot,eco-service.it,
Ecoservice S.r.l.,Gausium,ecoservice.it,
Emiliana Macchine,Gausium,http://tannery-machines.com/emiliana-macchine-conceria/,
Euro-C,Kärcher,euro-c.it,
Exel Green,Gausium,exelgreen.fr,
Fachmarkt Wagener,Cleanfix,fachmarkt-wagener.de,
Faip Bâtiment,"Gausium, Kemaro",faip.fr,
Falco S.a.s.,LionsBot,falcosas.it,
Falco S.r.l.,Gausium,falcosrl.com,
Faubourg 132,Gausium,faubourg132.fr,
Faupel GmbH,Gausium,faupel-gmbh.de,
Faure QEI,"Gausium, LionsBot",faure-qei.com,
Fiedler & Schneidewind GmbH,LionsBot,fiedler-schneidewind.de,
Gaerner Austria,Adlatus Robotics,gaerner.at,
Geesinknorba,Gausium,geesinknorba.com,
Gialdi,Kärcher,gialdi.it,
P. Glatzeder,"Gausium, LionsBot",glatzeder.de,
Groupe CK,Chancee,groupe-ck.com,
Groupe Clean,"Gausium, Kärcher, Cleanfix, i-Team Global",groupe-clean.fr,
Groupe ICA,Gausium,groupe-ica.com,
Groupe PI,Gausium,groupe-pi.com,
Groveko,"Gausium, Kärcher, Adlatus Robotics, CenoBots, Cleanfix, i-Team Global, Avidbots",groveko.nl,
GS Robotics,Gausium,gs-robotics.com,
G.S.C. (Gouda Schoonmaak Machines),Cleanfix,gsc.nl,
Hahn Robshare,Gausium,hahn-robshare.com,
Kärcher Center Haug,Kärcher,haug-kaercher.de,
Hazet (IG),Kärcher,hazet.ig.nl,
Hegro Eichler,Adlatus Robotics,hegro.de,
Hennig Hygiene,Adlatus Robotics,hennig-hygiene.de,
Henry Kruse GmbH & Co. KG,"LionsBot, i-Team Global",henry-kruse.de,
Hijman,i-Team Global,hijman.nl,
Hoffmann Group France,Adlatus Robotics,hoffmann-group.com,
hollu Systemhygiene GmbH,"Gausium, i-Team Global",hollu.com,
Kärcher Center Hüssong,Kärcher,huessong.de,
Hygie Meca,Gausium,hygie-meca.fr,
Hygiène Promotion,i-Team Global,hygiene-promotion.fr,
Hygiene-Shop.com,"Kärcher, Cleanfix",hygiene-shop.com,
igefa Handelsgesellschaft m.b.H. (Arigala),"Adlatus Robotics, LionsBot, i-Team Global",igefa.at,
IGS Hagen,Adlatus Robotics,igs-hagen.de,
Indors,Kärcher,indors.it,
Innovi,Gausium,innovi.nl,
ISC Group (Innovative Specialist Care),LionsBot,isc-robotics.com,
ISC s.r.l.,"Gausium, Kärcher, Adlatus Robotics, LionsBot, i-Team Global, Avidbots",iscsrl.com,
Jack Clean,LionsBot,jackclean.fr,
Jeikner,"LionsBot, Cleanfix",jeikner.de,
KAISER kkf,i-Team Global,kaiser-kkf.de,
Kenter,"Gausium, LionsBot",kenter.de,
KHE Service,Gausium,khe-service.de,
Killis (Killi’s),i-Team Global,killis.at,
Kitzberger,Kärcher,kitzberger.at,
Kiveld,i-Team Global,kiveld.de,
Labor H,i-Team Global,labor-h.fr,
Labrosse Matériel Solutions,Kärcher,labrosse-materiel-solutions.fr,
Lefeld,Kärcher,lefeld.de,
Kärcher Center Lippert,Kärcher,lippert-reinigungstechnik.de,
M.A.C. Systemlösungen GmbH,Gausium,mac-systemloesungen.de,
Magers S.r.l.,CenoBots,magers.it,
Makiol Services GmbH,Gausium,makiol.de,
Manes Macchine S.r.l.,Gausium,manes.it,
Manutention Services,Kärcher,manutention-services.fr,
Aurama,,,
Mapa S.r.l.,Gausium,mapa-srl.com,
M.A.P. Srl,LionsBot,mapsrl.it,
Masi Communication,Gausium,masicommunication.com,
Mat’Net,Gausium,mat-net.com,
Matériel de Nettoyage 74 (MN74),i-Team Global,materiel-nettoyage-74.fr,
MAT’NET,Kärcher,matnet02.fr,
Kärcher Center Matthäs,Kärcher,matthaes.de,
Mavtec,Adlatus Robotics,mavtec.be,
Mazzuoli S.p.A.,Chancee,mazzuoli.it,
Mencke,Kärcher,mencke.nl,
Mercateo Austria (Unite),Adlatus Robotics,mercateo.at,
METIS Robotics,Gausium,metis-robotics.de,
Kärcher Center Müller,Kärcher,mueller-reinigungstechnik.de,
Mull2media,Kärcher,mull2media.nl,
Groupe Onet,LionsBot,onet.fr,
Ora Robotique (Ora Groupe),Gausium,ora-groupe.fr,
Groupe Paredes,"Adlatus Robotics, LionsBot",paredes.fr,
Professional Robotics Group (P.R.G.),"CenoBots, Gausium",pr-g.com,
P.R.O. Robotics,DeepBlue Technology,pro-robotics.de,
Professional Robotics (P.R.O. Handels GmbH),Gausium,professional-robotics.at,
Profi Kiel,Kärcher,profikiel.de,
Protech Distribution,Gausium,protech-distribution.fr,
Provence Hygiène,Kärcher,provencehygiene.com,
Proxima Robotics,Gausium,proximarobotics.com,
Pulimav,"Gausium, Kärcher",pulimav.eu,
RCM S.p.A.,LionsBot,rcm.it,
Reinigungsberater.de (Görner),Kärcher,reinigungsberater.de,
Reinigungstechnik24 (Riwald GmbH),Kärcher,reinigungstechnik24.de,
Reinigungstechnik4you,i-Team Global,reinigungstechnik4you.de,
RentClean,Kärcher,rentclean.nl,
R.G.A. Service,Gausium,rgaservice.it,
Siegfried Richter GmbH,LionsBot,richter-reinigungstechnik.de,
Kärcher Center Salomo,Kärcher,salomo.nl,
SALTI,Kärcher,salti.fr,
Schäfer Shop Austria,Adlatus Robotics,schaefer-shop.at,
Scheureder,Kärcher,scheureder.at,
SGS Reinigungssysteme,Cleanfix,sgs-reinigungssysteme.de,
Henry Kruse,i-Team Global,shop.henrykruse.de,
Siegmund Care,i-Team Global,siegmund.care,
Sigron Handels- u. Schulungs GmbH,i-Team Global,sigron.at,
Simple.Clean (SCS),Adlatus Robotics,simple-clean.de,
Smart Clean Services,Gausium,smart-clean-services.fr,
Franz Söffing,Gausium,soeffing.de,
SoftBank Robotics EMEA,Gausium,softbankrobotics.com,
Soltech,Gausium,soltech-nr.com,
SOTEC,Kärcher,sotec-shop.de,
Staehlin GmbH,LionsBot,staehlin.de,
STOLZ,Kemaro,stolz.fr,
Süd-Reinigungstechnik,Kärcher,sued-reinigungstechnik.de,
Tecnologia & Pulizia,LionsBot,tecnologiaepulizia.it,
Total Cleaning Products,"CenoBots, Gausium",totalcleaningproducts.nl,
